"t","p"
1,0.500000000003468
2,0.500000000004372
3,0.500000000005506
4,0.500000000006925
5,0.500000000008702
6,0.500000000010922
7,0.500000000013693
8,0.500000000017148
9,0.500000000021451
10,0.500000000026804
11,0.500000000033455
12,0.500000000041711
13,0.500000000051946
14,0.500000000064621
15,0.500000000080299
16,0.50000000009967
17,0.500000000123577
18,0.500000000153049
19,0.500000000189338
20,0.500000000233972
21,0.500000000288807
22,0.500000000356097
23,0.500000000438577
24,0.500000000539562
25,0.500000000663062
26,0.500000000813925
27,0.500000000998004
28,0.500000001222356
29,0.500000001495479
30,0.500000001827598
31,0.500000002230993
32,0.500000002720403
33,0.500000003313491
34,0.500000004031399
35,0.500000004899403
36,0.500000005947686
37,0.500000007212244
38,0.50000000873595
39,0.500000010569815
40,0.500000012774446
41,0.500000015421769
42,0.500000018597038
43,0.500000022401175
44,0.500000026953507
45,0.500000032394942
46,0.50000003889167
47,0.50000004663945
48,0.500000055868589
49,0.500000066849695
50,0.500000079900338
51,0.500000095392723
52,0.500000113762553
53,0.500000135519211
54,0.500000161257473
55,0.500000191670946
56,0.500000227567465
57,0.500000269886716
58,0.500000319720362
59,0.500000378335012
60,0.500000447198381
61,0.500000528009044
62,0.500000622730233
63,0.500000733628156
64,0.500000863315387
65,0.500001014799916
66,0.500001191540517
67,0.50000139750914
68,0.500001637261124
69,0.500001916014068
70,0.500002239736294
71,0.500002615245914
72,0.500003050321582
73,0.500003553826106
74,0.500004135844196
75,0.500004807835687
76,0.500005582805714
77,0.500006475493362
78,0.500007502580454
79,0.500008682922219
80,0.500010037801673
81,0.500011591209659
82,0.500013370152559
83,0.500015404989803
84,0.500017729803357
85,0.500020382801462
86,0.50002340675894
87,0.500026849496453
88,0.500030764401123
89,0.500035210990975
90,0.500040255525652
91,0.500045971665929
92,0.500052441184545
93,0.50005975473102
94,0.500068012653313
95,0.50007732587959
96,0.500087816864199
97,0.500099620603379
98,0.500112885728741
99,0.500127775690916
100,0.50014447005287
101,0.500163165924082
102,0.500184079585343
103,0.500207448383134
104,0.500233533017467
105,0.500262620415215
106,0.500295027482466
107,0.500331106178074
108,0.500371250564513
109,0.500415906794456
110,0.500465587410664
111,0.500520891906501
112,0.50058253625231
113,0.500651395078288
114,0.500728561453333
115,0.500815430737756
116,0.50091381682122
117,0.5010261111579
118,0.501155497299983
119,0.501306235960258
120,0.501484037767145
121,0.501696542466034
122,0.501953923904894
123,0.502269639134789
124,0.502661336667962
125,0.503151932613556
126,0.503770853303031
127,0.504555428477621
128,0.505552399728278
129,0.506819484638939
130,0.508426908536355
131,0.510458784173342
132,0.513014187203119
133,0.516207744992732
134,0.520169532095469
135,0.525044052165342
136,0.53098808820694
137,0.538167225608517
138,0.54675089939682
139,0.556905891023773
140,0.568788300890459
141,0.582534147908476
142,0.598248890449286
143,0.615996314257112
144,0.635787379299064
145,0.657569743691162
146,0.681218772271429
147,0.706530874231371
148,0.733219985243801
149,0.760917906193182
150,0.789179030859078
151,0.817489744416372
152,0.845282467343349
153,0.871953976998099
154,0.896887289736491
155,0.919476061806792
156,0.93915019976402
157,0.955401190188262
158,0.967805586893507
159,0.976045144823411
160,0.979922265053276
161,0.979369703948578
162,0.974453879042423
163,0.965371542451847
164,0.95244005122238
165,0.93608190224607
166,0.916804578906663
167,0.895177045231473
168,0.871804398545329
169,0.847302242623375
170,0.822272271731547
171,0.797280374973158
172,0.7728383028549
173,0.749389613333107
174,0.727300265198326
175,0.70685388430903
176,0.688251420895152
177,0.671614665646904
178,0.656992912529691
179,0.644371952914766
180,0.633684556621997
181,0.62482163229139
182,0.617643348912474
183,0.611989626485914
184,0.607689550170376
185,0.604569413473734
186,0.602459239079991
187,0.601197750980627
188,0.600635872458036
189,0.600638898325196
190,0.60108753680253
191,0.60187803895514
192,0.602921635713062
193,0.604143488951408
194,0.605481338872131
195,0.606883999614455
196,0.608309822549254
197,0.609725215136223
198,0.61110327467825
199,0.612422572074647
200,0.613666101304859
201,0.614820395852737
202,0.61587480320069
203,0.616820902239947
204,0.6176520452124
205,0.618363004874129
206,0.618949708271734
207,0.619409040278589
208,0.619738702402735
209,0.619937115029193
210,0.620003353987855
211,0.619937115029193
212,0.619738702402735
213,0.619409040278589
214,0.618949708271734
215,0.618363004874129
216,0.6176520452124
217,0.616820902239947
218,0.61587480320069
219,0.614820395852737
220,0.613666101304859
221,0.612422572074647
222,0.61110327467825
223,0.609725215136223
224,0.608309822549254
225,0.606883999614455
226,0.605481338872131
227,0.604143488951408
228,0.602921635713062
229,0.60187803895514
230,0.60108753680253
231,0.600638898325196
232,0.600635872458036
233,0.601197750980627
234,0.602459239079991
235,0.604569413473734
236,0.607689550170376
237,0.611989626485914
238,0.617643348912474
239,0.62482163229139
240,0.633684556621997
241,0.644371952914766
242,0.656992912529691
243,0.671614665646904
244,0.688251420895152
245,0.70685388430903
246,0.727300265198326
247,0.749389613333107
248,0.7728383028549
249,0.797280374973158
250,0.822272271731547
251,0.847302242623375
252,0.871804398545329
253,0.895177045231473
254,0.916804578906663
255,0.93608190224607
256,0.95244005122238
257,0.965371542451847
258,0.974453879042423
259,0.979369703948578
260,0.979922265053276
261,0.976045144823411
262,0.967805586893507
263,0.955401190188262
264,0.93915019976402
265,0.919476061806792
266,0.896887289736491
267,0.871953976998099
268,0.845282467343349
269,0.817489744416372
270,0.789179030859078
271,0.760917906193182
272,0.733219985243801
273,0.706530874231371
274,0.681218772271429
275,0.657569743691162
276,0.635787379299064
277,0.615996314257112
278,0.598248890449286
279,0.582534147908476
280,0.568788300890459
281,0.556905891023773
282,0.54675089939682
283,0.538167225608517
284,0.53098808820694
285,0.525044052165342
286,0.520169532095469
287,0.516207744992732
288,0.513014187203119
289,0.510458784173342
290,0.508426908536355
291,0.506819484638939
292,0.505552399728278
293,0.504555428477621
294,0.503770853303031
295,0.503151932613556
296,0.502661336667962
297,0.502269639134789
298,0.501953923904894
299,0.501696542466034
300,0.501484037767145
301,0.501306235960258
302,0.501155497299983
303,0.5010261111579
304,0.50091381682122
305,0.500815430737756
306,0.500728561453333
307,0.500651395078288
308,0.50058253625231
309,0.500520891906501
310,0.500465587410664
311,0.500415906794456
312,0.500371250564513
313,0.500331106178074
314,0.500295027482466
315,0.500262620415215
316,0.500233533017467
317,0.500207448383134
318,0.500184079585343
319,0.500163165924082
320,0.50014447005287
321,0.500127775690916
322,0.500112885728741
323,0.500099620603379
324,0.500087816864199
325,0.50007732587959
326,0.500068012653313
327,0.50005975473102
328,0.500052441184545
329,0.500045971665929
330,0.500040255525652
331,0.500035210990975
332,0.500030764401123
333,0.500026849496453
334,0.50002340675894
335,0.500020382801462
336,0.500017729803357
337,0.500015404989803
338,0.500013370152559
339,0.500011591209659
340,0.500010037801673
341,0.500008682922219
342,0.500007502580454
343,0.500006475493362
344,0.500005582805714
345,0.500004807835687
346,0.500004135844196
347,0.500003553826106
348,0.500003050321582
349,0.500002615245914
350,0.500002239736294
351,0.500001916014068
352,0.500001637261124
353,0.50000139750914
354,0.500001191540517
355,0.500001014799916
356,0.500000863315387
357,0.500000733628156
358,0.500000622730233
359,0.500000528009044
360,0.500000447198381
361,0.500000378335012
362,0.500000319720362
363,0.500000269886716
364,0.500000227567465
365,0.500000191670946
